"forecast_date","target_end_date","location","location_name","value","type","quantile","target"
2021-03-15,2021-05-05,"GM","Germany",3052538.67822044,"quantile",0.025,"51 day ahead cum case"
2021-03-15,2021-05-06,"GM","Germany",3059751.31222119,"quantile",0.025,"52 day ahead cum case"
2021-03-15,2021-05-07,"GM","Germany",3066898.42635367,"quantile",0.025,"53 day ahead cum case"
2021-03-15,2021-05-08,"GM","Germany",3073980.70994337,"quantile",0.025,"54 day ahead cum case"
2021-03-15,2021-05-09,"GM","Germany",3080998.8482397,"quantile",0.025,"55 day ahead cum case"
2021-03-15,2021-05-10,"GM","Germany",3087953.52222839,"quantile",0.025,"56 day ahead cum case"
2021-03-15,2021-05-11,"GM","Germany",3094845.40846179,"quantile",0.025,"57 day ahead cum case"
2021-03-15,2021-05-12,"GM","Germany",3101675.17890516,"quantile",0.025,"58 day ahead cum case"
2021-03-15,2021-05-13,"GM","Germany",3108443.50079775,"quantile",0.025,"59 day ahead cum case"
2021-03-15,2021-05-14,"GM","Germany",3115151.03652702,"quantile",0.025,"60 day ahead cum case"
2021-03-15,2021-05-15,"GM","Germany",3121798.44351484,"quantile",0.025,"61 day ahead cum case"
2021-03-15,2021-05-16,"GM","Germany",3128386.3741145,"quantile",0.025,"62 day ahead cum case"
2021-03-15,2021-05-17,"GM","Germany",3134915.4755176,"quantile",0.025,"63 day ahead cum case"
2021-03-15,2021-05-18,"GM","Germany",3141386.38966967,"quantile",0.025,"64 day ahead cum case"
2021-03-15,2021-05-19,"GM","Germany",3147799.75319397,"quantile",0.025,"65 day ahead cum case"
2021-03-15,2021-05-20,"GM","Germany",3154156.19732241,"quantile",0.025,"66 day ahead cum case"
2021-03-15,2021-05-21,"GM","Germany",3160456.34783312,"quantile",0.025,"67 day ahead cum case"
2021-03-15,2021-05-22,"GM","Germany",3166700.81989153,"quantile",0.025,"68 day ahead cum case"
2021-03-15,2021-05-23,"GM","Germany",3172890.20880753,"quantile",0.025,"69 day ahead cum case"
2021-03-15,2021-05-24,"GM","Germany",3179025.10346289,"quantile",0.025,"70 day ahead cum case"
2021-03-15,2021-05-25,"GM","Germany",3185106.08812837,"quantile",0.025,"71 day ahead cum case"
2021-03-15,2021-05-26,"GM","Germany",3191133.74242257,"quantile",0.025,"72 day ahead cum case"
2021-03-15,2021-05-27,"GM","Germany",3197108.64127764,"quantile",0.025,"73 day ahead cum case"
2021-03-15,2021-05-28,"GM","Germany",3203031.35490824,"quantile",0.025,"74 day ahead cum case"
2021-03-15,2021-05-29,"GM","Germany",3208902.44878353,"quantile",0.025,"75 day ahead cum case"
2021-03-15,2021-05-30,"GM","Germany",3214722.48360173,"quantile",0.025,"76 day ahead cum case"
2021-03-15,2021-05-31,"GM","Germany",3220492.01526719,"quantile",0.025,"77 day ahead cum case"
2021-03-15,2021-06-01,"GM","Germany",3226211.59486955,"quantile",0.025,"78 day ahead cum case"
2021-03-15,2021-06-02,"GM","Germany",3231881.76866498,"quantile",0.025,"79 day ahead cum case"
2021-03-15,2021-06-03,"GM","Germany",3237503.07805912,"quantile",0.025,"80 day ahead cum case"
2021-03-15,2021-06-04,"GM","Germany",3243076.05959171,"quantile",0.025,"81 day ahead cum case"
2021-03-15,2021-06-05,"GM","Germany",3248601.24492263,"quantile",0.025,"82 day ahead cum case"
2021-03-15,2021-06-06,"GM","Germany",3254079.16081932,"quantile",0.025,"83 day ahead cum case"
2021-03-15,2021-06-07,"GM","Germany",3259510.32914532,"quantile",0.025,"84 day ahead cum case"
2021-03-15,2021-06-08,"GM","Germany",3264895.26685002,"quantile",0.025,"85 day ahead cum case"
2021-03-15,2021-06-09,"GM","Germany",3270234.48595924,"quantile",0.025,"86 day ahead cum case"
2021-03-15,2021-06-10,"GM","Germany",3275528.49356685,"quantile",0.025,"87 day ahead cum case"
2021-03-15,2021-06-11,"GM","Germany",3280777.79182707,"quantile",0.025,"88 day ahead cum case"
2021-03-15,2021-06-12,"GM","Germany",3285982.87794757,"quantile",0.025,"89 day ahead cum case"
2021-03-15,2021-06-13,"GM","Germany",3291144.24418321,"quantile",0.025,"90 day ahead cum case"
2021-03-15,2021-06-14,"GM","Germany",3296262.37783038,"quantile",0.025,"91 day ahead cum case"
2021-03-15,2021-06-15,"GM","Germany",3301337.76122186,"quantile",0.025,"92 day ahead cum case"
2021-03-15,2021-06-16,"GM","Germany",3306370.86958115,"quantile",0.025,"93 day ahead cum case"
2021-03-15,2021-06-17,"GM","Germany",3311362.14703766,"quantile",0.025,"94 day ahead cum case"
