"forecast_date","target_end_date","location","location_name","value","type","quantile","target"
2021-03-15,2021-03-26,"GM","Germany",76449.1378060374,"quantile",0.975,"11 day ahead cum death"
2021-03-15,2021-03-27,"GM","Germany",76756.5226990255,"quantile",0.975,"12 day ahead cum death"
2021-03-15,2021-03-28,"GM","Germany",77072.7251772287,"quantile",0.975,"13 day ahead cum death"
2021-03-15,2021-03-29,"GM","Germany",77397.1329112126,"quantile",0.975,"14 day ahead cum death"
2021-03-15,2021-03-30,"GM","Germany",77729.1422422933,"quantile",0.975,"15 day ahead cum death"
2021-03-15,2021-03-31,"GM","Germany",78068.1658875288,"quantile",0.975,"16 day ahead cum death"
2021-03-15,2021-04-01,"GM","Germany",78413.6685112768,"quantile",0.975,"17 day ahead cum death"
2021-03-15,2021-04-02,"GM","Germany",78765.30072557,"quantile",0.975,"18 day ahead cum death"
2021-03-15,2021-04-03,"GM","Germany",79122.7525845769,"quantile",0.975,"19 day ahead cum death"
2021-03-15,2021-04-04,"GM","Germany",79485.7148263611,"quantile",0.975,"20 day ahead cum death"
